Sample,Screen,pulp_wt _g,Au_ppm,Ba_ppm,Ce_ppm,Cr_ppm,Cs_ppm,Dy_ppm,Er_ppm,Eu_ppm,Ga_ppm,Gd_ppm,Hf_ppm,Ho_ppm,La_ppm,Lu_ppm,Nb_ppm,Nd_ppm,Pr_ppm,Rb_ppm,Sc_ppm,Sm_ppm,Sn_ppm,Sr_ppm,Ta_ppm,Tb_ppm,Th_ppm,Ti_percentage,Tm_ppm,U_ppm,V_ppm,W_ppm,Y_ppm,Yb_ppm,Zr_ppm,Ag_ppm,Al_percentage,As_ppm,Ba_ppm,Be_ppm,Bi_ppm,Ca_percentage,Cd_ppm,Ce_ppm,Co_ppm,Cr_ppm,Cs_ppm,Cu_ppm,Fe_percentage,Ga_ppm,Ge_ppm,Hf_ppm,In_ppm,K_percentage,La_ppm,Li_ppm,Mg_percentage,Mn_ppm,Mo_ppm,Na_percentage,Nb_ppm,Ni_ppm,P_ppm,Pb_ppm,Rb_ppm,Re_ppm,S_percentage,Sb_ppm,Sc_ppm,Se_ppm,Sn_ppm,Sr_ppm,Ta_ppm,Te_ppm,Th_ppm,Ti_percentage,Tl_ppm,U_ppm,V_ppm,W_ppm,Y_ppm,Zn_ppm,Zr_ppm,Al2O3_percentage,BaO_percentage,CaO_percentage,Cr2O3_percentage,Fe2O3_percentage,K2O_percentage,MgO_percentage,MnO_percentage,Na2O_percentage,P2O5_percentage,SO3_percentage,SiO2_percentage,SrO_percentage,TiO2_percentage,Total_percentage,LOI_percentage,Th_ppm,Zr_ppm
Sample 2,+6.7mm,113,0.01,111.5,12.1,19,0.49,0.92,0.6,0.24,2.6,1.05,0.89,0.16,6,0.08,1.13,5.4,1.46,12.2,3.2,1.06,0.8,35.1,0.1,0.14,2.1,0.06,0.06,0.44,28,1.5,4.8,0.4,36,0.03,1.17,4.3,110,0.4,0.17,0.4,0.02,19.1,3.2,14,0.43,10.4,1.3,2.75,0.11,0.3,0.011,0.26,8.8,5.1,0.17,150,0.32,0.24,1,7.7,100,10.2,10.9,0.002,0.01,0.44,2.3,1,0.3,32.9,0.06,0.05,3.42,0.051,0.06,0.6,22,0.4,3.1,16,11,2.26,0.01,0.56,0.01,1.94,0.32,0.31,0.02,0.34,0.02,0.01,93.23,0.01,0.09,99.61,0.5,,
Sample 2,6.7x4.75mm,110,0.01,190.5,9.5,21,0.5,0.88,0.59,0.3,3.8,0.89,1.2,0.17,4.6,0.09,1.47,4.6,1.17,18,3.2,0.94,0.9,62.6,0.1,0.14,1.83,0.06,0.08,0.52,31,0.5,5.9,0.64,37,0.02,1.6,4.9,170,0.57,0.11,0.46,0.02,11.8,3.4,17,0.44,9.7,1.6,3.5,0.1,0.5,0.008,0.44,5.6,4.9,0.12,163,0.46,0.35,1.1,7.2,110,11.6,16.7,0.002,0.01,0.34,2.2,1,0.3,57.6,0.08,0.05,2.25,0.056,0.09,0.5,26,0.4,2.9,16,15.7,3.14,0.02,0.6,0.01,2.31,0.56,0.22,0.02,0.49,0.03,0.01,91.53,0.01,0.08,99.53,0.5,,
Sample 2,4.5x3.35mm,111,0.01,252,16.8,19,0.58,1.44,0.78,0.36,4.1,1.39,1.98,0.3,8,0.13,0.81,7.3,2,27.3,1.6,1.47,0.9,75.3,0.1,0.23,3.18,0.04,0.15,0.88,28,0.5,9.4,0.95,73,0.03,2.13,5.5,250,0.89,0.15,0.41,0.02,15.3,3.1,14,0.53,9.4,1.58,3.98,0.11,0.8,0.007,0.75,6.8,4.8,0.05,109,0.51,0.53,0.8,5.7,110,14,28.2,0.002,0.01,0.27,2,1,0.3,78.7,0.07,0.05,3.09,0.034,0.14,0.6,23,0.6,4.3,12,24.4,4.16,0.03,0.56,0.01,2.27,0.96,0.1,0.01,0.73,0.02,0.01,90.12,0.01,0.06,99.57,0.54,,
Sample 2,3.35x2.36mm,106,0.01,271,17.7,15,0.6,1.1,0.56,0.3,4.2,1.26,4.97,0.2,8.5,0.1,0.67,7.8,2.22,31.9,2.3,1.7,1,82.9,0.1,0.18,3.74,0.02,0.09,1.06,22,0.5,6,0.6,173,0.02,2.1,4.8,260,0.77,0.06,0.36,0.02,18.75,2.3,11,0.57,5.1,1.26,3.81,0.11,0.7,0.008,0.9,8.5,4.8,0.03,128,0.36,0.52,0.6,4.6,110,13.2,32.9,0.002,0.01,0.19,1.1,1,0.3,71.5,0.06,0.05,3.56,0.019,0.15,0.6,18,0.4,2.9,9,20.2,3.98,0.03,0.48,0.01,1.85,1.07,0.06,0.01,0.7,0.02,0.01,90.8,0.01,0.04,99.51,0.46,,
Sample 2,2.36x1.7mm,110,0.01,320,18.3,11,0.66,1.26,1,0.38,3.8,1.33,1.26,0.29,8.8,0.13,0.6,8.1,2.13,36.9,1.4,1.53,1.7,71.9,0.1,0.21,3.49,0.02,0.1,0.73,16,0.5,8.8,0.9,44,0.02,1.99,2.7,290,0.62,0.06,0.3,0.02,21,1.5,7,0.55,3.7,0.73,3.56,0.11,0.6,0.005,0.92,10.2,4.4,0.02,57,0.25,0.51,0.7,2.8,80,13.8,34.1,0.002,0.01,0.14,1,1,0.7,68.1,0.05,0.05,3.24,0.022,0.17,0.6,11,0.2,3.7,6,18.6,3.89,0.03,0.45,0.01,1.11,1.12,0.06,0.01,0.71,0.02,0.01,91.69,0.01,0.04,99.51,0.36,,
Sample 2,1.7x1.18mm,106,0.01,320,11.5,10,0.6,1.13,0.71,0.34,3.5,0.86,1.26,0.24,6,0.11,0.43,4.6,1.28,35.4,2.5,0.98,0.7,72.4,0.1,0.17,2.15,0.02,0.12,0.55,11,0.5,6.8,0.78,46,0.01,1.94,2.5,280,0.6,0.06,0.28,0.02,17.95,1.3,7,0.54,5,0.63,3.34,0.1,0.5,0.005,0.9,8.8,4,0.02,70,0.27,0.5,0.6,2.7,80,12.4,34,0.002,0.01,0.14,1.2,1,0.2,66.6,0.05,0.05,3.15,0.017,0.17,0.4,9,0.2,4.3,6,18.6,3.7,0.03,0.36,0.01,0.89,1.13,0.06,0.01,0.69,0.02,0.01,92.18,0.01,0.03,99.47,0.35,,
Sample 2,1.18mmx850um,107,0.01,276,17.9,14,0.67,1.02,0.82,0.23,3.7,0.97,1.11,0.24,8.5,0.18,0.55,7.6,2.02,40.9,2.8,1.39,0.7,65,0.1,0.14,3.12,0.02,0.15,0.45,10,0.5,7.3,1.03,41,0.01,1.95,2.1,270,0.54,0.04,0.26,0.02,15.55,1.2,7,0.61,4.3,0.57,3.25,0.1,0.4,0.005,0.91,7.2,3.8,0.03,116,0.24,0.5,0.5,2.8,70,12.6,36.2,0.002,0.01,0.11,2.1,1,0.3,62.6,0.05,0.05,2.38,0.015,0.17,0.4,7,0.2,5.7,6,13.6,3.64,0.03,0.35,0.01,0.8,1.15,0.06,0.01,0.61,0.01,0.01,93.31,0.01,0.04,100.35,0.3,,
Sample 2,850x600um,105,0.01,278,17.1,11,0.78,1.54,1.18,0.26,3.7,1.12,1.52,0.34,8.2,0.16,0.94,7.2,1.96,39,4.2,1.33,1,61.3,0.1,0.2,3.11,0.04,0.19,0.45,10,0.5,9.7,1.37,56,0.01,2.03,1.8,260,0.57,0.04,0.29,0.02,33.5,1.3,8,0.75,3.7,0.66,3.48,0.12,0.4,0.005,0.92,16.2,3.9,0.05,175,0.19,0.48,0.9,3.2,80,12.9,39,0.002,0.01,0.14,2.8,1,0.3,62.7,0.06,0.05,5.34,0.033,0.19,0.4,8,0.2,8.6,7,13.2,3.91,0.03,0.4,0.01,0.98,1.12,0.11,0.02,0.64,0.02,0.01,92.17,0.01,0.06,99.82,0.33,,
Sample 2,600x425um,112,0.01,278,16.2,10,0.83,1.44,1.26,0.33,4.2,1,1.63,0.4,8.1,0.28,2.27,7.1,1.78,38,3.9,1.12,0.7,65.4,0.2,0.2,3.02,0.07,0.21,0.59,11,0.5,10.2,1.3,59,0.01,2,1.6,260,0.57,0.04,0.3,0.02,14.5,1.3,8,0.84,3.3,0.57,3.47,0.1,0.4,0.006,0.9,6.5,3.7,0.05,170,0.15,0.47,1,2.5,60,11.8,38.6,0.002,0.01,0.11,2.5,1,0.3,61.2,0.07,0.05,2.26,0.035,0.18,0.4,7,0.2,6.8,7,13.6,3.85,0.03,0.4,0.01,0.77,1.1,0.09,0.02,0.65,0.01,0.01,92.81,0.01,0.07,100.1,0.3,,
Sample 2,425x300um,109,0.01,247,149,20,0.98,6.77,3.16,0.53,4.7,10.25,1.96,1.2,69.9,0.47,9.78,64.5,17.05,38.2,6.8,14.2,0.7,66.3,0.7,1.38,28.4,0.36,0.41,3.16,28,0.5,30.1,2.93,76,0.02,2.06,1.4,220,0.59,0.05,0.32,0.02,54.2,2.3,12,0.8,3.5,1.28,3.66,0.16,0.4,0.008,0.77,25.2,3.9,0.1,537,0.22,0.43,8.3,2.9,90,11.6,33.8,0.002,0.01,0.14,5.8,1,0.4,56,0.53,0.05,9.59,0.371,0.16,0.7,15,0.4,17.1,15,12.6,4.28,0.03,0.46,0.01,1.95,0.96,0.21,0.06,0.6,0.03,0.01,90.68,0.01,0.57,100.1,0.26,,
