Sample,2Theta,Raw Intensity,Offsetted Intensity
Con 1,5,246.1,296.1
Con 1,5.05,199.326,249.326
Con 1,5.1,164.095,214.095
Con 1,5.15,223.567,273.567
Con 1,5.2,187.83,237.83
Con 1,5.25,215.064,265.064
Con 1,5.3,204.997,254.997
Con 1,5.35,196.022,246.022
Con 1,5.4,188.818,238.818
Con 1,5.45,173.371,223.371
Con 1,5.5,227.448,277.448
Con 1,5.55,179.01,229.01
Con 1,5.6,272.676,322.676
Con 1,5.65,211.053,261.053
Con 1,5.7,209.751,259.751
Con 1,5.75,203.49,253.49
Con 1,5.8,187.035,237.035
Con 1,5.85,215.454,265.454
Con 1,5.9,223.345,273.345
Con 1,5.95,194.248,244.248
Con 1,6,186.142,236.142
Con 1,6.05,206.874,256.874
Con 1,6.1,190.362,240.362
Con 1,6.15,185.429,235.429
Con 1,6.2,227.92,277.92
Con 1,6.25,245.838,295.838
Con 1,6.3,253.845,303.845
Con 1,6.35,202.567,252.567
Con 1,6.4,185.264,235.264
Con 1,6.45,244.207,294.207
Con 1,6.5,168.852,218.852
Con 1,6.55,167.874,217.874
Con 1,6.6,200.705,250.705
Con 1,6.65,203.205,253.205
Con 1,6.7,209.766,259.766
Con 1,6.75,200.368,250.368
Con 1,6.8,196.93,246.93
Con 1,6.85,209.721,259.721
Con 1,6.9,207.895,257.895
Con 1,6.95,182.533,232.533
Con 1,7,193.96,243.96
Con 1,7.05,214.384,264.384
Con 1,7.1,224.123,274.123
Con 1,7.15,203.314,253.314
Con 1,7.2,227.791,277.791
Con 1,7.25,220.391,270.391
Con 1,7.3,214.136,264.136
Con 1,7.35,183.182,233.182
Con 1,7.4,209.902,259.902
Con 1,7.45,187.995,237.995
Con 1,7.5,220.856,270.856
Con 1,7.55,229.497,279.497
Con 1,7.6,194.771,244.771
Con 1,7.65,219.16,269.16
Con 1,7.7,197.705,247.705
Con 1,7.75,226.872,276.872
Con 1,7.8,204.884,254.884
Con 1,7.85,224.667,274.667
Con 1,7.9,206.695,256.695
Con 1,7.95,204.591,254.591
Con 1,8,221.082,271.082
Con 1,8.05,193.168,243.168
Con 1,8.1,219.19,269.19
Con 1,8.15,210.711,260.711
Con 1,8.2,203.068,253.068
Con 1,8.25,200.04,250.04
Con 1,8.3,228.767,278.767
Con 1,8.35,230.48,280.48
Con 1,8.4,219.505,269.505
Con 1,8.45,223.907,273.907
Con 1,8.5,226.338,276.338
Con 1,8.55,230.575,280.575
Con 1,8.6,219.635,269.635
Con 1,8.65,212.166,262.166
Con 1,8.7,194.57,244.57
